Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min)
AGRRES14DEL01,37,4.3,27.16185,78.040165,27.20185,78.080165,Snack ,motorcycle ,36
CHENRES13DEL03,29,5.0,13.027018,80.254791,13.117018,80.344791,Buffet ,scooter ,24
HYDRES14DEL02,22,4.1,17.426228,78.407495,17.506228,78.487495,Meal ,motorcycle ,34
COIMBRES06DEL03,38,4.6,11.021278,76.995017,11.051278,77.025017,Buffet ,motorcycle ,24
COIMBRES08DEL01,33,4.9,11.001852,76.976268,11.011852,76.986268,Meal ,electric_scooter ,28
BANGRES20DEL01,25,4.0,12.972161,77.596014,13.042161,77.666014,Meal ,motorcycle ,38
VADRES19DEL01,26,4.8,22.311844,73.165081,22.381844,73.235081,Buffet ,scooter ,19
VADRES18DEL03,30,4.3,0.0,0.0,0.09,0.09,Snack ,motorcycle ,41
RANCHIRES12DEL02,39,4.3,0.0,0.0,0.08,0.08,Snack ,motorcycle ,37
MUMRES02DEL01,30,4.9,19.221315,72.862381,19.231315,72.872381,Snack ,electric_scooter ,26
BANGRES03DEL03,37,4.7,12.979166,77.640709,13.039166,77.700709,Meal ,motorcycle ,28
JAPRES01DEL03,26,4.9,26.90519,75.810753,26.96519,75.870753,Buffet ,motorcycle ,28
KOCRES15DEL02,36,4.2,10.027364,76.308258,10.077364,76.358258,Drinks ,motorcycle ,32
RANCHIRES13DEL01,28,4.6,23.374989,85.335486,23.444989,85.405486,Buffet ,motorcycle ,18
MUMRES16DEL01,31,4.7,19.120083,72.907385,19.230083,73.017385,Snack ,motorcycle ,22
MUMRES01DEL02,24,4.7,19.12663,72.829976,19.17663,72.879976,Drinks ,motorcycle ,29
SURRES14DEL02,38,4.7,21.157729,72.768726,21.177729,72.788726,Buffet ,motorcycle ,28
DEHRES20DEL03,29,4.8,0.0,0.0,0.06,0.06,Drinks ,scooter ,19
SURRES02DEL02,24,4.9,21.186608,72.794136,21.266608,72.874136,Buffet ,motorcycle ,24
COIMBRES04DEL02,29,4.6,11.024839,77.007003,11.104839,77.087003,Meal ,motorcycle ,45
CHENRES17DEL01,38,4.9,13.045479,80.23311,13.085479,80.27311,Drinks ,motorcycle ,35
JAPRES19DEL02,32,4.7,26.913726,75.75282,26.933726,75.77282,Snack ,motorcycle ,20
MYSRES14DEL02,22,4.7,0.0,0.0,0.13,0.13,Drinks ,scooter ,19
COIMBRES16DEL03,34,4.8,11.010375,76.95295,11.070375,77.01295,Meal ,motorcycle ,33
HYDRES05DEL01,29,4.6,17.433809,78.386744,17.443809,78.396744,Meal ,motorcycle ,28
PUNERES14DEL02,22,4.6,18.516216,73.842527,18.566216,73.892527,Snack ,motorcycle ,13
AURGRES15DEL03,20,4.9,19.878028,75.317475,19.938028,75.377475,Drinks ,scooter ,31
COIMBRES010DEL03,29,4.7,11.003008,76.97544,11.033008,77.00544,Buffet ,motorcycle ,27
LUDHRES20DEL03,28,4.9,30.885915,75.788259,30.975915,75.878259,Buffet ,motorcycle ,29
RANCHIRES16DEL01,31,4.9,23.371292,85.327872,23.481292,85.437872,Meal ,scooter ,25
KOCRES01DEL01,26,5.0,9.979363,76.285001,10.049363,76.355001,Snack ,scooter ,27
CHENRES03DEL02,28,4.6,13.091809,80.219104,13.111809,80.239104,Snack ,scooter ,19
ALHRES05DEL01,28,4.7,25.457687,81.835585,25.467687,81.845585,Snack ,motorcycle ,13
INDORES04DEL03,25,4.6,22.753659,75.903365,22.813659,75.963365,Snack ,scooter ,18
SURRES14DEL01,21,4.5,21.157729,72.768726,21.197729,72.808726,Meal ,motorcycle ,19
MYSRES13DEL03,37,5.0,12.310972,76.659264,12.340972,76.689264,Meal ,scooter ,29
CHENRES08DEL01,23,4.9,13.022394,80.242439,13.092394,80.312439,Snack ,scooter ,16
JAPRES07DEL02,28,5.0,26.766536,75.837333,26.786536,75.857333,Meal ,motorcycle ,19
SURRES09DEL01,21,4.8,21.175975,72.795503,21.215975,72.835503,Meal ,motorcycle ,29
CHENRES06DEL01,33,4.8,13.054347,80.257221,13.164347,80.367221,Snack ,motorcycle ,29
BANGRES09DEL03,25,4.6,12.934179,77.615797,12.994179,77.675797,Snack ,motorcycle ,20
COIMBRES13DEL02,29,4.8,11.003669,76.976494,11.053669,77.026494,Buffet ,motorcycle ,19
JAPRES04DEL03,31,4.7,26.902328,75.794257,26.932328,75.824257,Meal ,motorcycle ,30
COIMBRES04DEL02,31,4.1,11.024839,77.007003,11.074839,77.057003,Buffet ,motorcycle ,34
MUMRES17DEL03,38,4.7,19.121999,72.908493,19.181999,72.968493,Snack ,scooter ,17
PUNERES17DEL03,20,4.9,18.530963,73.828972,18.560963,73.858972,Drinks ,motorcycle ,10
AURGRES16DEL03,31,4.1,0.0,0.0,0.09,0.09,Buffet ,motorcycle ,41
PUNERES04DEL01,25,4.6,18.51421,73.838429,18.55421,73.878429,Meal ,scooter ,23
CHENRES14DEL01,39,4.3,13.026279,80.174568,13.066279,80.214568,Meal ,motorcycle ,39
LUDHRES04DEL01,25,4.8,30.914057,75.83982,31.024057,75.94982,Drinks ,electric_scooter ,24
SURRES02DEL02,29,5.0,21.186608,72.794136,21.266608,72.874136,Drinks ,motorcycle ,34
JAPRES16DEL01,34,3.5,26.849596,75.800512,26.959596,75.910512,Snack ,scooter ,38
VADRES18DEL01,29,4.6,0.0,0.0,0.01,0.01,Drinks ,motorcycle ,19
VADRES14DEL02,30,4.6,22.311603,73.165012,22.391603,73.245012,Snack ,motorcycle ,41
PUNERES12DEL02,21,4.3,18.520016,73.830547,18.570016,73.880547,Snack ,motorcycle ,52
SURRES20DEL03,24,5.0,21.15276,72.778059,21.21276,72.838059,Meal ,motorcycle ,26
PUNERES20DEL03,29,4.6,18.592718,73.773572,18.652718,73.833572,Drinks ,motorcycle ,17
JAPRES09DEL01,39,4.4,26.911378,75.789034,27.021378,75.899034,Meal ,scooter ,39
HYDRES010DEL02,28,4.8,17.428294,78.404423,17.558294,78.534423,Buffet ,motorcycle ,24
CHENRES15DEL02,20,4.6,13.026286,80.275235,13.156286,80.405235,Drinks ,motorcycle ,27
